model_id,model_Name,make_id,nom_id,created_at,updated_at,photo_file_name,photo_content_type,photo_file_size,photo_updated_at,seriveLife,maintainence_type
5403,RG67,101,337,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5404,1740,158,338,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5405,Laserjet 1700n,87,269,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5406,169,113,178,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5407,75,163,179,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5408,77,163,179,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5409,AN/PSM45A,163,179,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5410,1660,102,177,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5411,6623,91,177,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5412,6626A,91,177,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5413,577D1MOD177,158,339,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL

